destination,country,continent,population,cost_index,safety_index,climate,activities,style,has_beaches,has_mountains,is_urban,is_safe,is_expensive
"Barcelona, Spain Variant 143",Spain,Europe,2018088,65.50143434519094,80.46845909385829,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Rome, Italy Variant 144",Italy,Europe,3855480,87.31512739295572,66.2419474154766,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Tokyo, Japan Variant 145",Japan,Asia,12094683,117.26963851233405,96.00181907192699,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Rome, Italy Variant 146",Italy,Europe,1832465,81.06018636697578,80.9408692284054,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Berlin, Germany Variant 147",Germany,Europe,2234981,69.48141854107553,96.79099642834126,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Rome, Italy Variant 148",Italy,Europe,1622824,100.42109952567876,93.03046444079561,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,True,True
"Barcelona, Spain Variant 149",Spain,Europe,895542,105.12407576578319,84.3057016495032,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,False,False,True
"Rome, Italy Variant 150",Italy,Europe,2211694,84.92957201075265,89.56204310871315,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,True,False
"Mexico City, Mexico Variant 1",Mexico,North America,5144222,66.15902053365362,66.75367210962038,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 2",Hungary,Europe,2257653,30.0,91.0046831981473,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Hanoi, Vietnam Variant 3",Vietnam,Asia,5012622,36.22357580240425,84.91246747350311,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 4",Vietnam,Asia,4530715,51.17670368265749,84.49124956888907,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 5",Thailand,Asia,15103581,39.758131756707954,87.27046283167094,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,True,False
"Hanoi, Vietnam Variant 6",Vietnam,Asia,8023124,50.45121747588932,76.2829224249581,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 7",Vietnam,Asia,7118390,63.84586305934609,88.71621764136094,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
"Bangkok, Thailand Variant 8",Thailand,Asia,11229831,57.179903099161706,86.37773696772243,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,True,False
"Budapest, Hungary Variant 9",Hungary,Europe,2098318,49.1658764413187,80.49549121742938,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 10",Hungary,Europe,1718547,61.93855763007922,86.485822398878,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Hanoi, Vietnam Variant 11",Vietnam,Asia,5102047,47.05686374960684,79.1077297407677,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 12",Portugal,Europe,712446,62.25771642945469,84.00343621174932,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,False,False
"Hanoi, Vietnam Variant 13",Vietnam,Asia,9318116,43.99845923520047,79.98163124911517,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 14",Vietnam,Asia,6247647,53.8633019606159,77.53669221084948,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 15",Portugal,Europe,390220,61.96169152013784,96.84052397359105,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Budapest, Hungary Variant 16",Hungary,Europe,1345779,56.739160838337625,86.15374557971846,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Mexico City, Mexico Variant 17",Mexico,North America,5182004,30.757597397270583,74.42022698180524,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 18",Portugal,Europe,623002,54.36890963350535,89.69043576566816,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Budapest, Hungary Variant 19",Hungary,Europe,967555,39.374541431134574,84.35473661326853,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,False,False,False
"Bangkok, Thailand Variant 20",Thailand,Asia,10480836,41.6225201840624,81.05404916877387,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 21",Thailand,Asia,10158884,50.79993380559144,79.73953058162442,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 22",Thailand,Asia,7198299,41.768819386519205,77.17910294189747,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 23",Thailand,Asia,10785516,47.044587598534505,78.76157756788312,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 24",Thailand,Asia,10997849,49.17352214961811,73.85491540170818,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 25",Thailand,Asia,9786837,54.04257195013452,73.57992272720396,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 26",Thailand,Asia,12320326,30.0,72.95134647645031,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 27",Hungary,Europe,2188745,64.44490972391196,83.55385464891572,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 28",Vietnam,Asia,6894009,30.0,80.81733325040695,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 29",Hungary,Europe,1164565,66.61933813456096,83.15817526342964,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 30",Hungary,Europe,2031670,50.0250134159486,83.55748246036413,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 31",Hungary,Europe,1666571,63.83109777147159,86.610814014936,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Bangkok, Thailand Variant 32",Thailand,Asia,9387386,44.81597100584478,84.03832724878123,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 33",Thailand,Asia,9457502,48.72868558348002,73.6140739968915,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 34",Mexico,North America,6481649,36.69231551605134,71.00325901977844,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 35",Vietnam,Asia,10127759,35.56616950630064,75.38049266567454,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 36",Thailand,Asia,9442632,50.678555105274036,82.2638683756111,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 37",Portugal,Europe,479013,52.71199581447863,90.0637241922987,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Mexico City, Mexico Variant 38",Mexico,North America,7949109,80.43667895301527,70.91403454602668,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 39",Hungary,Europe,2159576,49.49308428469687,91.7214482109114,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Mexico City, Mexico Variant 40",Mexico,North America,12731977,55.24219456672758,77.06110277707714,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 41",Thailand,Asia,9672282,39.376064718531204,80.14153548603824,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 42",Portugal,Europe,468846,76.87386051564751,100.0,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Bangkok, Thailand Variant 43",Thailand,Asia,13942659,44.760034265446436,71.71394362571232,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 44",Mexico,North America,6331025,57.709745388461926,71.5209645977671,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 45",Portugal,Europe,308733,67.76709043904985,92.66070281742557,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Bangkok, Thailand Variant 46",Thailand,Asia,9040335,62.96994546561109,77.88565968850558,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 47",Vietnam,Asia,8258852,40.42961664137603,79.49057747404724,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 48",Portugal,Europe,303622,59.34715223600918,86.94645670448791,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Bangkok, Thailand Variant 49",Thailand,Asia,13064895,54.47359302190611,71.93036309673718,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 50",Thailand,Asia,14137515,54.037300903366095,77.87902196804542,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 51",Mexico,North America,4891544,50.10905214081093,71.48654822840422,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 52",Mexico,North America,10926007,50.97933255483329,72.62132338821584,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 53",Mexico,North America,10998059,35.638846863213786,70.62923484809679,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 54",Hungary,Europe,934147,65.28682610696391,80.41625576588972,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,False,False,False
"Hanoi, Vietnam Variant 55",Vietnam,Asia,11043680,52.236105872288746,84.33730390819656,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 56",Hungary,Europe,2450780,63.592572249998405,88.73088872916371,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Mexico City, Mexico Variant 57",Mexico,North America,9766598,53.67366253617426,65.12735347664679,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 58",Vietnam,Asia,7100502,42.617215393004166,75.93131004292069,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 59",Mexico,North America,8496619,52.781390962046935,72.10842234132222,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 60",Thailand,Asia,8349187,51.959750338646025,79.58489708886704,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 61",Thailand,Asia,14116578,50.388655620485636,78.77157915816794,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 62",Thailand,Asia,8481271,44.64036554885952,82.04028899140573,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 63",Vietnam,Asia,4933722,48.67287313401341,90.19091838397561,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
"Bangkok, Thailand Variant 64",Thailand,Asia,7818819,49.805803941122676,76.48410108582863,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 65",Thailand,Asia,13959272,56.55610398252892,85.63861809761882,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,True,False
"Mexico City, Mexico Variant 66",Mexico,North America,12920584,59.28312962473496,74.49567856843746,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 67",Thailand,Asia,15692869,55.591592889031844,89.26443441109875,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,True,False
"Bangkok, Thailand Variant 68",Thailand,Asia,8276174,33.73988908223447,75.52070794631594,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 69",Portugal,Europe,542578,52.74066635015797,92.93045320370555,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Budapest, Hungary Variant 70",Hungary,Europe,1925410,57.65155527298887,90.20965267480776,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Bangkok, Thailand Variant 71",Thailand,Asia,5951235,44.820873499462095,79.20524238554083,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 72",Vietnam,Asia,7767545,41.114258967608734,76.57591816655176,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 73",Vietnam,Asia,7597982,61.122782579886454,87.57457226792023,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
"Hanoi, Vietnam Variant 74",Vietnam,Asia,10380013,59.01565737515327,86.54527023965794,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
"Hanoi, Vietnam Variant 75",Vietnam,Asia,4866426,42.43412069817826,68.98623032550157,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 76",Vietnam,Asia,11682577,59.790789734057604,84.05571827324772,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 77",Thailand,Asia,8104058,59.06857695125735,76.92250898840065,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 78",Portugal,Europe,435666,58.882309090947146,88.81481601475794,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Mexico City, Mexico Variant 79",Mexico,North America,7154416,40.93682536328166,69.58447213685653,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 80",Mexico,North America,8726128,79.84467368641432,66.4850126986508,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 81",Hungary,Europe,885646,65.8447958307307,84.11234953246223,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,False,False,False
"Bangkok, Thailand Variant 82",Thailand,Asia,7572375,44.91544659970256,77.42413536115029,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 83",Thailand,Asia,9453641,52.131966282376894,74.2401533413059,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 84",Hungary,Europe,1480830,65.76007138598598,87.10655824335971,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Budapest, Hungary Variant 85",Hungary,Europe,2059336,54.359296998715024,84.04862258320108,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 86",Hungary,Europe,1567297,36.96860323744055,79.07932028497255,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 87",Hungary,Europe,2126985,39.188092979678665,91.47519157038057,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Budapest, Hungary Variant 88",Hungary,Europe,2134688,63.10703655349994,89.6758673552455,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Bangkok, Thailand Variant 89",Thailand,Asia,11632900,42.91711537398337,79.71407581201312,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 90",Thailand,Asia,10077776,41.118521042726236,76.46559425656314,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 91",Vietnam,Asia,8453346,42.94787025500804,85.28941553065715,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
"Mexico City, Mexico Variant 92",Mexico,North America,7872395,56.68654671966728,72.20970324784705,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 93",Thailand,Asia,12082437,52.32360277683866,82.56797395889599,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 94",Portugal,Europe,322949,69.51632701649596,83.6255047134544,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,False,False
"Budapest, Hungary Variant 95",Hungary,Europe,2457098,55.583510042854776,83.27607896636736,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 96",Portugal,Europe,258667,48.02902615013748,85.77215285675763,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Bangkok, Thailand Variant 97",Thailand,Asia,6158911,57.98254071425445,77.0206958995608,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 98",Thailand,Asia,7546465,63.35805666491494,77.29582818597072,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 99",Vietnam,Asia,7147059,42.040231565942655,86.41803039915092,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
"Budapest, Hungary Variant 100",Hungary,Europe,1358467,65.00582318042979,83.64689895461677,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 101",Vietnam,Asia,5849451,35.71020045677375,70.21949484312591,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 102",Vietnam,Asia,11409580,30.0,77.5340658638179,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 103",Portugal,Europe,439811,64.21729336196586,87.2719524265165,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Lisbon, Portugal Variant 104",Portugal,Europe,337097,53.94295331514064,87.92539484855632,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Bangkok, Thailand Variant 105",Thailand,Asia,8914702,63.10308746119608,84.97841905394978,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 106",Mexico,North America,8158854,59.36425129493079,76.6317109899361,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 107",Thailand,Asia,12405674,33.71109816425485,84.3624372329937,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 108",Vietnam,Asia,8700104,35.618226245722944,81.7093052760375,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 109",Thailand,Asia,6750787,45.26160652929084,77.9277386456086,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 110",Mexico,North America,9503858,37.32702646889424,62.745133687794564,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 111",Mexico,North America,5959403,44.03876975261932,69.82002294011379,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Lisbon, Portugal Variant 112",Portugal,Europe,311458,64.06565929083,90.1449121253054,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Hanoi, Vietnam Variant 113",Vietnam,Asia,12039586,36.379501185955064,81.47499941748518,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 114",Mexico,North America,13456975,39.603334807266805,62.56861485024853,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 115",Vietnam,Asia,11920797,71.32924436929852,71.97197263546617,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 116",Hungary,Europe,2210851,52.80843980286938,93.13860438569588,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Lisbon, Portugal Variant 117",Portugal,Europe,670704,56.39939144876925,91.7842058927646,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Budapest, Hungary Variant 118",Hungary,Europe,1475968,35.20700189624212,90.73955128058768,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Hanoi, Vietnam Variant 119",Vietnam,Asia,8722356,39.78098185816845,83.82407074841466,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 120",Hungary,Europe,2617222,57.91861762000015,91.49732485574123,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Bangkok, Thailand Variant 121",Thailand,Asia,13621882,67.18850490404822,76.56446653734875,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 122",Vietnam,Asia,10893500,50.237602174456796,82.35710746900472,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 123",Mexico,North America,12980998,57.65886298059333,78.84558350131643,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 124",Vietnam,Asia,4332903,48.26798909889781,89.14504801674634,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
"Budapest, Hungary Variant 125",Hungary,Europe,2267457,61.21571889856051,85.15194831978182,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Hanoi, Vietnam Variant 126",Vietnam,Asia,11836220,45.18780304316449,84.26855940128097,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 127",Vietnam,Asia,7920363,47.552733874135626,86.22948357747934,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
"Lisbon, Portugal Variant 128",Portugal,Europe,501161,91.73510970396478,93.78416865578049,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Mexico City, Mexico Variant 129",Mexico,North America,9313790,82.15946572312882,68.65140734221332,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 130",Mexico,North America,12842829,33.00389281499446,61.43780271217843,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 131",Vietnam,Asia,10523270,46.63061067429416,80.96135388872631,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 132",Vietnam,Asia,4052513,31.153533793053967,85.81544499106516,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
"Mexico City, Mexico Variant 133",Mexico,North America,7477545,63.85458958900338,73.94567012573339,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 134",Hungary,Europe,929522,55.79000083611062,92.3977181040582,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,False,True,False
"Budapest, Hungary Variant 135",Hungary,Europe,1504469,48.73282775410035,91.31196736191379,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Bangkok, Thailand Variant 136",Thailand,Asia,13631079,62.09266110968739,70.80217973311908,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 137",Hungary,Europe,885926,56.80583206608363,87.72619358390833,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,False,True,False
"Mexico City, Mexico Variant 138",Mexico,North America,10256231,54.7347874075094,65.5906267438614,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 139",Vietnam,Asia,7305835,43.0895231005297,78.25780164086505,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 140",Mexico,North America,10426483,72.25117332258571,73.36030259546884,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 141",Hungary,Europe,2549361,36.063853330462145,88.06646853686469,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Bangkok, Thailand Variant 142",Thailand,Asia,10545579,56.59245668432405,82.6878506881328,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam Variant 143",Vietnam,Asia,5196412,54.81314127998781,87.17855869649419,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
"Hanoi, Vietnam Variant 144",Vietnam,Asia,10980829,30.0,77.2122514438036,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Mexico City, Mexico Variant 145",Mexico,North America,4807838,66.50296026301393,71.39921330498804,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Bangkok, Thailand Variant 146",Thailand,Asia,12019477,50.599326302663286,79.38688468979096,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Budapest, Hungary Variant 147",Hungary,Europe,1605044,47.98292401875125,89.91794234986637,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Lisbon, Portugal Variant 148",Portugal,Europe,548904,58.51086118727501,89.94546246919526,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Lisbon, Portugal Variant 149",Portugal,Europe,375046,73.43372622157058,91.79724537997518,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Hanoi, Vietnam Variant 150",Vietnam,Asia,5177722,37.61197131269778,85.44958166282584,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,True,False
Monaco Variant 1,Monaco,Europe,24719,144.75911602065406,95.76177436016862,Mediterranean,"['Casino', 'Yachting', 'Luxury resorts']",Luxury,False,False,False,True,True
"Beverly Hills, USA Variant 2",USA,North America,30683,147.06817429313733,92.65128078120975,Mediterranean,"['Celebrity spotting', 'Luxury shopping', 'Spas']",Luxury,False,False,False,True,True
